capture_time,completion_time_s,condition,condition_id,condition_label,demo_dtw,demo_end_error,demo_frechet,demo_hausdorff,demo_length,demo_mnd,demo_start_error,demo_success_rate,demo_times,deposit_time,feedback_mode,gp_dtw,gp_end_error,gp_frechet,gp_hausdorff,gp_length,gp_mnd,gp_start_error,gp_success,hardware_connected,input_mode,last_demo_time_s,mean_demo_time_s,min_approach_dist,mode,n_demos,participant_count,participant_folder,participant_id,participant_index,path_length,per_demo_mnd,per_demo_wall_hits,required_demos_target,session_folder,success,success_tolerance_m,target_length,task_success,tlx_effort,tlx_frustration,tlx_mental,tlx_overall,tlx_performance,tlx_physical,tlx_temporal,total_demo_time_s,trial_in_file,trial_index,tube,validation_run,wall_hit_events_mean,wall_hit_events_total
,,kinesthetic,,,0.014415884010937251,,0.05447560358382812,0.008237511680012312,0.8939103643508484,0.0032289026637329784,,,"[7.273438930511475, 5.49013352394104, 6.477114677429199, 6.754448652267456, 9.48913311958313]",,,0.0020094376561270873,,0.006201733602457232,0.006201733602457232,0.11012905892526231,0.003138676481658943,,,,,,,,,5,,,,,,"[0.0024289654224403266, 0.004016522940809083, 0.002810729748328783, 0.003538740227496116, 0.003446528741217849]",,,session_1774607445,,,0.11428401343924717,,,,,,,,,,1,,s_curve,,,
,,haply_increasing_learned_guidance,5,"Haply device, increasing learned guidance",0.001999905601745135,,0.010051028324990495,0.010048835581889183,0.1320481361762158,0.0032668578146423407,,,[7.533866882324219],,increasing_learned_guidance,0.0017778420095461254,,0.009606080225867642,0.009606080225867642,0.1291815403258197,0.0032449387974844593,,,True,device,,,,,1,,,,,,[0.0032668578146423407],,,session_1774611772,,,0.11428401343924717,,,,,,,,,,1,,s_curve,,,
,,haply_increasing_learned_guidance,5,"Haply device, increasing learned guidance",0.008915684525444367,,0.054281390972829816,0.010048835581889183,0.3302028851464024,0.003055685928407432,,,"[7.533866882324219, 9.811675548553467]",,increasing_learned_guidance,0.0017859985566534803,,0.006150129798031192,0.0061450465458071785,0.11975861056662569,0.0029797127079894768,,,True,device,,,,,2,,,,,,"[0.0032668578146423407, 0.0028835203141522187]",,,session_1774611772,,,0.11428401343924717,,,,,,,,,,2,,s_curve,,,
,,haply_increasing_learned_guidance,5,"Haply device, increasing learned guidance",0.013677757897283338,,0.05484634076133129,0.010048835581889183,0.5358404633360714,0.0029759379107886356,,,"[7.533866882324219, 9.811675548553467, 8.487669706344604]",,increasing_learned_guidance,0.0019408125007867605,,0.006433419163965137,0.006433419163965137,0.11955663406036322,0.0031512586551622358,,,True,device,,,,,3,,,,,,"[0.0032668578146423407, 0.0028835203141522187, 0.002830709891482839]",,,session_1774611772,,,0.11428401343924717,,,,,,,,,,3,,s_curve,,,
,,haply_increasing_learned_guidance,5,"Haply device, increasing learned guidance",0.014894379662165383,,0.05492847306487491,0.010048835581889183,0.7283208685597677,0.0028833325968180682,,,"[7.533866882324219, 9.811675548553467, 8.487669706344604, 7.859395980834961]",,increasing_learned_guidance,0.001770687093303077,,0.005913714962191063,0.005907161564425484,0.11343224410558755,0.0028334752941118037,,,True,device,,,,,4,,,,,,"[0.0032668578146423407, 0.0028835203141522187, 0.002830709891482839, 0.0025954083283814123]",,,session_1774611772,,,0.11428401343924717,,,,,,,,,,4,,s_curve,,,
,,haply_increasing_learned_guidance,5,"Haply device, increasing learned guidance",0.0173835088544154,,0.05491098176057163,0.0333202967008133,1.3421128493497614,0.0035336025706273633,,,"[7.533866882324219, 9.811675548553467, 8.487669706344604, 7.859395980834961, 7.096783399581909]",,increasing_learned_guidance,0.001955849294449018,,0.00887827534693847,0.008878754447520853,0.10392744167216265,0.00298555721435545,,,True,device,,,,,5,,,,,,"[0.0032668578146423407, 0.0028835203141522187, 0.002830709891482839, 0.0025954083283814123, 0.006474940010299638]",,,session_1774611772,,,0.11428401343924717,,,,,,,,,,5,,s_curve,,,
,,haply_increasing_learned_guidance,5,"Haply device, increasing learned guidance",0.016212272150035515,,0.058973911603258655,0.0333202967008133,1.5774291488897465,0.003286601852557621,,,"[7.533866882324219, 9.811675548553467, 8.487669706344604, 7.859395980834961, 7.096783399581909, 7.920137166976929]",,increasing_learned_guidance,0.0014796275146356096,,0.006993659956033794,0.006987223725970914,0.10575269425051548,0.0022965117717439437,,,True,device,,,,,6,,,,,,"[0.0032668578146423407, 0.0028835203141522187, 0.002830709891482839, 0.0025954083283814123, 0.006474940010299638, 0.0020295446266669678]",,,session_1774611772,,,0.11428401343924717,,,,,,,,,,6,,s_curve,,,
,,haply_increasing_learned_guidance,5,"Haply device, increasing learned guidance",0.01656799692720624,,0.058930836631645854,0.0333202967008133,1.7777864781362651,0.0033473396433070903,,,"[7.533866882324219, 9.811675548553467, 8.487669706344604, 7.859395980834961, 7.096783399581909, 7.920137166976929, 6.083935976028442]",,increasing_learned_guidance,0.0017408517375938318,,0.007184030057297202,0.0071760188221248866,0.10788978380476621,0.0026028764959648587,,,True,device,,,,,7,,,,,,"[0.0032668578146423407, 0.0028835203141522187, 0.002830709891482839, 0.0025954083283814123, 0.006474940010299638, 0.0020295446266669678, 0.00382677451936193]",,,session_1774611772,,,0.11428401343924717,,,,,,,,,,7,,s_curve,,,
893,,haply,,,,,,,,,,,,1266,,,,,,,,,,,,,,0.0,,,,,,,0.6820231359995499,,,,space_session_1773854617,,,,True,,,,,,,,,1,,,,,
585,,haply,,,,,,,,,,,,899,,,,,,,,,,,,,,0.0,,,,,,,0.5608622101378093,,,,space_session_1773854617,,,,True,,,,,,,,,2,,,,,
-1,,haply,,,,,,,,,,,,-1,,,,,,,,,,,,,,0.07120464564423733,,,,,,,0.0,,,,space_session_1773856602,,,,False,,,,,,,,,1,,,,,
759,,haply,,,,,,,,,,,,1003,,,,,,,,,,,,,,0.0,,,,,,,0.30260249349574625,,,,space_session_1773856699,,,,True,,,,,,,,,1,,,,,
-1,,mouse,,,,,,,,,,,,-1,,,,,,,,,,,,,,0.03758277949288958,,,,,,,1.5472273260348892,,,,space_session_1773856699,,,,False,,,,,,,,,2,,,,,
635,,haply,,,,,,,,,,,,1430,,,,,,,,,,,,,,0.0,,,,,,,0.689219438452991,,,,space_session_1773857634,,,,True,,,,,,,,,1,,,,,
255,,haply,,,,,,,,,,,,988,,,,,,,,,,,,,,0.0,,,,,,,0.8564143854252888,,,,space_session_1773857634,,,,True,,,,,,,,,2,,,,,
124,,haply,,,,,,,,,,,,-1,,,,,,,,,,,,,,0.0,,,,,,,3.2276130274542374,,,,space_session_1773857634,,,,False,,,,,,,,,3,,,,,
1058,,haply,,,,,,,,,,,,1869,,,,,,,,,,,,,,0.0,,,,,,,1.7105470370026878,,,,space_session_1773858681,,,,True,,,,,,,,,1,,,,,
531,,haply,,,,,,,,,,,,931,,,,,,,,,,,,,,0.0,,,,,,,0.7216794027118268,,,,space_session_1773858768,,,,True,,,,,,,,,1,,,,,
512,,haply,,,,,,,,,,,,975,,,,,,,,,,,,,,0.0,,,,,,,0.6027938335396421,,,,space_session_1773858837,,,,True,,,,,,,,,1,,,,,
12,,haply_haptics,,,,,,,,,,,,-1,,,,,,,,,,,,,,0.009199271263515836,,,,,,,2.764245934129751,,,,space_session_1773858881,,,,False,,,,,,,,,1,,,,,
70,,haply_haptics,,,,,,,,,,,,-1,,,,,,,,,,,,,,0.0068976596483952286,,,,,,,0.8147340471014625,,,,space_session_1773858895,,,,False,,,,,,,,,1,,,,,
